cancer_site,episodes,patients,readmitted,percent,ci_low,ci_high
Unknown primary,,,,,,
Haematologic,3792.0,2424.0,907.0,23.9,22.4,25.3
Bone and cartilage,179.0,130.0,42.0,23.5,16.4,30.4
Secondary (spread),3803.0,3263.0,831.0,21.9,20.5,23.2
Respiratory and intrathoracic,3534.0,3089.0,665.0,18.8,17.6,20.4
Soft tissue,474.0,380.0,84.0,17.7,13.9,21.2
Digestive,7640.0,6380.0,1238.0,16.2,15.5,17.2
Ill-defined site,63.0,60.0,10.0,15.9,7.9,26.6
"Eye, brain and nervous system",930.0,704.0,123.0,13.2,11.1,15.5
Head and neck,749.0,648.0,95.0,12.7,10.4,15.0
Skin,515.0,478.0,62.0,12.0,9.0,15.1
Urinary,3073.0,2556.0,359.0,11.7,10.5,13.0
Female reproductive,2452.0,2147.0,231.0,9.4,8.0,10.6
Breast,1502.0,1426.0,130.0,8.7,7.1,10.2
Male reproductive,2429.0,2294.0,197.0,8.1,7.0,9.2
Thyroid and endocrine,1124.0,941.0,40.0,3.6,2.4,4.7
