model,factor,odds_ratio,ci_low,ci_high,p_value
1. Baseline variables only (primary),Intercept,0.01,0.01,0.01,0.0
1. Baseline variables only (primary),baseline_cancer_has_spread[T.True],2.04,1.89,2.22,0.0
1. Baseline variables only (primary),"C(baseline_cancer_site, Treatment('Breast'))[T.Bone and cartilage]",0.87,0.47,1.59,0.645
1. Baseline variables only (primary),"C(baseline_cancer_site, Treatment('Breast'))[T.Digestive]",1.01,0.84,1.21,0.906
1. Baseline variables only (primary),"C(baseline_cancer_site, Treatment('Breast'))[T.Eye, brain and nervous system]",1.19,0.92,1.53,0.194
1. Baseline variables only (primary),"C(baseline_cancer_site, Treatment('Breast'))[T.Female reproductive]",0.87,0.69,1.09,0.2237
1. Baseline variables only (primary),"C(baseline_cancer_site, Treatment('Breast'))[T.Haematologic]",1.14,0.94,1.38,0.1906
1. Baseline variables only (primary),"C(baseline_cancer_site, Treatment('Breast'))[T.Head and neck]",1.06,0.79,1.43,0.7047
1. Baseline variables only (primary),"C(baseline_cancer_site, Treatment('Breast'))[T.Ill-defined site]",1.03,0.55,1.94,0.9261
1. Baseline variables only (primary),"C(baseline_cancer_site, Treatment('Breast'))[T.Male reproductive]",0.65,0.52,0.82,0.0003
1. Baseline variables only (primary),"C(baseline_cancer_site, Treatment('Breast'))[T.Not recorded on first abstract]",1.28,0.91,1.79,0.1565
1. Baseline variables only (primary),"C(baseline_cancer_site, Treatment('Breast'))[T.Respiratory and intrathoracic]",1.28,1.07,1.54,0.0078
1. Baseline variables only (primary),"C(baseline_cancer_site, Treatment('Breast'))[T.Secondary (spread)]",0.74,0.62,0.89,0.0018
1. Baseline variables only (primary),"C(baseline_cancer_site, Treatment('Breast'))[T.Skin]",0.72,0.53,0.98,0.0378
1. Baseline variables only (primary),"C(baseline_cancer_site, Treatment('Breast'))[T.Soft tissue]",1.24,0.92,1.69,0.162
1. Baseline variables only (primary),"C(baseline_cancer_site, Treatment('Breast'))[T.Thyroid and endocrine]",0.5,0.32,0.79,0.0029
1. Baseline variables only (primary),"C(baseline_cancer_site, Treatment('Breast'))[T.Unknown primary]",2.86,1.82,4.49,0.0
1. Baseline variables only (primary),"C(baseline_cancer_site, Treatment('Breast'))[T.Urinary]",0.74,0.6,0.92,0.0073
1. Baseline variables only (primary),C(age_band)[T.50-59],1.41,1.2,1.64,0.0
1. Baseline variables only (primary),C(age_band)[T.60-69],1.63,1.41,1.87,0.0
1. Baseline variables only (primary),C(age_band)[T.70-79],1.98,1.72,2.27,0.0
1. Baseline variables only (primary),C(age_band)[T.80 plus],2.33,2.02,2.69,0.0
1. Baseline variables only (primary),C(age_band)[T.Under 18],0.17,0.08,0.36,0.0
1. Baseline variables only (primary),C(sex)[T.M],1.2,1.13,1.29,0.0
1. Baseline variables only (primary),urgent_admission,6.67,5.98,7.45,0.0
1. Baseline variables only (primary),comorbidity_count,1.4,1.34,1.46,0.0
2. Adding in-hospital course (descriptive),Intercept,0.01,0.01,0.01,0.0
2. Adding in-hospital course (descriptive),baseline_cancer_has_spread[T.True],1.25,1.14,1.38,0.0
2. Adding in-hospital course (descriptive),"C(baseline_cancer_site, Treatment('Breast'))[T.Bone and cartilage]",0.77,0.41,1.46,0.4291
2. Adding in-hospital course (descriptive),"C(baseline_cancer_site, Treatment('Breast'))[T.Digestive]",0.88,0.71,1.09,0.2406
2. Adding in-hospital course (descriptive),"C(baseline_cancer_site, Treatment('Breast'))[T.Eye, brain and nervous system]",0.8,0.58,1.08,0.1486
2. Adding in-hospital course (descriptive),"C(baseline_cancer_site, Treatment('Breast'))[T.Female reproductive]",0.74,0.56,0.97,0.0277
2. Adding in-hospital course (descriptive),"C(baseline_cancer_site, Treatment('Breast'))[T.Haematologic]",1.1,0.87,1.38,0.4355
2. Adding in-hospital course (descriptive),"C(baseline_cancer_site, Treatment('Breast'))[T.Head and neck]",0.82,0.57,1.17,0.2666
2. Adding in-hospital course (descriptive),"C(baseline_cancer_site, Treatment('Breast'))[T.Ill-defined site]",1.26,0.51,3.11,0.609
2. Adding in-hospital course (descriptive),"C(baseline_cancer_site, Treatment('Breast'))[T.Male reproductive]",0.62,0.47,0.82,0.0007
2. Adding in-hospital course (descriptive),"C(baseline_cancer_site, Treatment('Breast'))[T.Not recorded on first abstract]",0.98,0.66,1.44,0.9173
2. Adding in-hospital course (descriptive),"C(baseline_cancer_site, Treatment('Breast'))[T.Respiratory and intrathoracic]",1.0,0.8,1.26,0.9656
2. Adding in-hospital course (descriptive),"C(baseline_cancer_site, Treatment('Breast'))[T.Secondary (spread)]",0.61,0.49,0.76,0.0
2. Adding in-hospital course (descriptive),"C(baseline_cancer_site, Treatment('Breast'))[T.Skin]",0.73,0.5,1.04,0.0831
2. Adding in-hospital course (descriptive),"C(baseline_cancer_site, Treatment('Breast'))[T.Soft tissue]",0.85,0.6,1.21,0.3714
2. Adding in-hospital course (descriptive),"C(baseline_cancer_site, Treatment('Breast'))[T.Thyroid and endocrine]",0.67,0.43,1.04,0.0737
2. Adding in-hospital course (descriptive),"C(baseline_cancer_site, Treatment('Breast'))[T.Unknown primary]",1.62,0.97,2.7,0.0654
2. Adding in-hospital course (descriptive),"C(baseline_cancer_site, Treatment('Breast'))[T.Urinary]",0.73,0.56,0.94,0.0139
2. Adding in-hospital course (descriptive),C(age_band)[T.50-59],1.28,1.07,1.53,0.0069
2. Adding in-hospital course (descriptive),C(age_band)[T.60-69],1.42,1.21,1.67,0.0
2. Adding in-hospital course (descriptive),C(age_band)[T.70-79],1.6,1.36,1.88,0.0
2. Adding in-hospital course (descriptive),C(age_band)[T.80 plus],1.57,1.33,1.86,0.0
2. Adding in-hospital course (descriptive),C(age_band)[T.Under 18],0.2,0.09,0.47,0.0002
2. Adding in-hospital course (descriptive),C(sex)[T.M],1.32,1.22,1.43,0.0
2. Adding in-hospital course (descriptive),urgent_admission,2.72,2.42,3.06,0.0
2. Adding in-hospital course (descriptive),comorbidity_count,1.27,1.21,1.34,0.0
2. Adding in-hospital course (descriptive),palliative_care,18.58,16.97,20.36,0.0
2. Adding in-hospital course (descriptive),post_admission_condition,2.02,1.86,2.19,0.0
