quarter,episodes,deaths,pct_died,pct_urgent,pct_spread,pct_aged_80_plus,pct_intensive_care,pct_palliative,pct_episode_long_stay
1,3347,322,9.6,52.8,31.6,18.5,11.0,18.4,46.7
2,3585,352,9.8,56.3,33.0,18.7,13.4,19.6,51.0
3,3612,381,10.5,54.4,32.7,19.0,11.4,19.9,48.4
4,3392,363,10.7,55.6,33.3,17.8,11.0,19.5,50.5
5,3574,370,10.4,56.1,32.4,18.4,11.4,19.6,50.1
6,3513,410,11.7,56.0,32.5,18.4,12.2,19.6,48.6
7,3735,478,12.8,56.0,31.8,18.0,12.3,20.0,49.6
8,3563,457,12.8,57.0,31.8,17.8,11.8,21.3,50.9
9,3836,425,11.1,55.2,31.8,17.6,11.7,20.3,50.3
10,3607,418,11.6,56.2,31.7,18.5,12.3,20.8,50.2
11,3830,454,11.9,54.8,31.8,17.8,12.3,20.0,49.9
12,3835,468,12.2,55.4,31.0,17.5,11.7,19.9,49.4
