model,factor,odds_ratio,ci_low,ci_high,p_value
1. Baseline variables only (primary),age_band: 50-59,0.98,0.86,1.12,0.7595
1. Baseline variables only (primary),age_band: 60-69,0.95,0.83,1.07,0.3722
1. Baseline variables only (primary),age_band: 70-79,0.97,0.85,1.09,0.593
1. Baseline variables only (primary),age_band: 80 plus,0.86,0.75,0.98,0.0254
1. Baseline variables only (primary),age_band: Under 18,1.47,1.15,1.87,0.0021
1. Baseline variables only (primary),sex: M,1.11,1.03,1.19,0.0052
1. Baseline variables only (primary),baseline_cancer_site: Bone and cartilage,3.05,1.98,4.68,0.0
1. Baseline variables only (primary),baseline_cancer_site: Digestive,1.68,1.36,2.07,0.0
1. Baseline variables only (primary),"baseline_cancer_site: Eye, brain and nervous system",1.25,0.93,1.67,0.1412
1. Baseline variables only (primary),baseline_cancer_site: Female reproductive,1.23,0.96,1.58,0.0956
1. Baseline variables only (primary),baseline_cancer_site: Haematologic,2.25,1.79,2.81,0.0
1. Baseline variables only (primary),baseline_cancer_site: Head and neck,1.61,1.19,2.18,0.0018
1. Baseline variables only (primary),baseline_cancer_site: Ill-defined site,1.49,0.68,3.25,0.321
1. Baseline variables only (primary),baseline_cancer_site: Male reproductive,0.97,0.75,1.26,0.8232
1. Baseline variables only (primary),baseline_cancer_site: Not recorded on first abstract,1.86,1.28,2.71,0.0012
1. Baseline variables only (primary),baseline_cancer_site: Respiratory and intrathoracic,1.81,1.45,2.25,0.0
1. Baseline variables only (primary),baseline_cancer_site: Secondary (spread),1.71,1.37,2.12,0.0
1. Baseline variables only (primary),baseline_cancer_site: Skin,1.31,0.93,1.85,0.1239
1. Baseline variables only (primary),baseline_cancer_site: Soft tissue,2.03,1.46,2.84,0.0
1. Baseline variables only (primary),baseline_cancer_site: Thyroid and endocrine,0.53,0.36,0.77,0.0008
1. Baseline variables only (primary),baseline_cancer_site: Unknown primary,2.68,1.36,5.27,0.0044
1. Baseline variables only (primary),baseline_cancer_site: Urinary,1.48,1.17,1.87,0.0011
1. Baseline variables only (primary),baseline_cancer_has_spread: True,1.33,1.22,1.45,0.0
1. Baseline variables only (primary),urgent_admission,2.94,2.72,3.17,0.0
1. Baseline variables only (primary),comorbidity_count,1.15,1.09,1.21,0.0
2. Adding in-hospital course (descriptive),age_band: 50-59,0.97,0.85,1.11,0.6532
2. Adding in-hospital course (descriptive),age_band: 60-69,0.93,0.82,1.06,0.2678
2. Adding in-hospital course (descriptive),age_band: 70-79,0.95,0.84,1.07,0.3793
2. Adding in-hospital course (descriptive),age_band: 80 plus,0.82,0.72,0.94,0.0053
2. Adding in-hospital course (descriptive),age_band: Under 18,1.47,1.15,1.88,0.0022
2. Adding in-hospital course (descriptive),sex: M,1.12,1.04,1.2,0.003
2. Adding in-hospital course (descriptive),baseline_cancer_site: Bone and cartilage,2.76,1.8,4.24,0.0
2. Adding in-hospital course (descriptive),baseline_cancer_site: Digestive,1.58,1.28,1.95,0.0
2. Adding in-hospital course (descriptive),"baseline_cancer_site: Eye, brain and nervous system",1.16,0.86,1.56,0.3236
2. Adding in-hospital course (descriptive),baseline_cancer_site: Female reproductive,1.24,0.96,1.58,0.0941
2. Adding in-hospital course (descriptive),baseline_cancer_site: Haematologic,2.0,1.6,2.51,0.0
2. Adding in-hospital course (descriptive),baseline_cancer_site: Head and neck,1.46,1.08,1.98,0.0138
2. Adding in-hospital course (descriptive),baseline_cancer_site: Ill-defined site,1.38,0.63,3.03,0.4179
2. Adding in-hospital course (descriptive),baseline_cancer_site: Male reproductive,0.97,0.75,1.25,0.7954
2. Adding in-hospital course (descriptive),baseline_cancer_site: Not recorded on first abstract,1.49,0.97,2.29,0.068
2. Adding in-hospital course (descriptive),baseline_cancer_site: Respiratory and intrathoracic,1.69,1.36,2.1,0.0
2. Adding in-hospital course (descriptive),baseline_cancer_site: Secondary (spread),1.65,1.33,2.06,0.0
2. Adding in-hospital course (descriptive),baseline_cancer_site: Skin,1.24,0.88,1.75,0.2174
2. Adding in-hospital course (descriptive),baseline_cancer_site: Soft tissue,1.87,1.34,2.62,0.0003
2. Adding in-hospital course (descriptive),baseline_cancer_site: Thyroid and endocrine,0.54,0.37,0.79,0.0015
2. Adding in-hospital course (descriptive),baseline_cancer_site: Unknown primary,2.4,1.21,4.76,0.0119
2. Adding in-hospital course (descriptive),baseline_cancer_site: Urinary,1.46,1.16,1.85,0.0015
2. Adding in-hospital course (descriptive),baseline_cancer_has_spread: True,1.28,1.17,1.39,0.0
2. Adding in-hospital course (descriptive),urgent_admission,2.54,2.33,2.76,0.0
2. Adding in-hospital course (descriptive),comorbidity_count,1.1,1.04,1.17,0.0007
2. Adding in-hospital course (descriptive),cancer_is_main_reason,1.0,0.92,1.08,0.9222
2. Adding in-hospital course (descriptive),final_abstract_long_stay,1.4,1.3,1.51,0.0
2. Adding in-hospital course (descriptive),intensive_care,0.98,0.88,1.1,0.7844
2. Adding in-hospital course (descriptive),palliative_care,1.11,1.0,1.24,0.0446
2. Adding in-hospital course (descriptive),post_admission_condition,1.02,0.93,1.1,0.7196
2. Adding in-hospital course (descriptive),had_procedure,0.75,0.69,0.83,0.0
2. Adding in-hospital course (descriptive),multi_facility,1.26,1.02,1.56,0.0334
