model,factor,odds_ratio,ci_low,ci_high
1. Baseline variables only (primary),Intercept,0.01,0.01,0.01
1. Baseline variables only (primary),baseline_cancer_has_spread[T.True],1.97,1.82,2.14
1. Baseline variables only (primary),"C(baseline_cancer_site, Treatment('Breast'))[T.Bone and cartilage]",0.79,0.43,1.46
1. Baseline variables only (primary),"C(baseline_cancer_site, Treatment('Breast'))[T.Digestive]",0.93,0.78,1.12
1. Baseline variables only (primary),"C(baseline_cancer_site, Treatment('Breast'))[T.Eye, brain and nervous system]",1.15,0.89,1.49
1. Baseline variables only (primary),"C(baseline_cancer_site, Treatment('Breast'))[T.Female reproductive]",0.85,0.67,1.06
1. Baseline variables only (primary),"C(baseline_cancer_site, Treatment('Breast'))[T.Haematologic]",0.98,0.81,1.2
1. Baseline variables only (primary),"C(baseline_cancer_site, Treatment('Breast'))[T.Head and neck]",0.93,0.69,1.27
1. Baseline variables only (primary),"C(baseline_cancer_site, Treatment('Breast'))[T.Ill-defined site]",1.0,0.53,1.87
1. Baseline variables only (primary),"C(baseline_cancer_site, Treatment('Breast'))[T.Male reproductive]",0.63,0.5,0.8
1. Baseline variables only (primary),"C(baseline_cancer_site, Treatment('Breast'))[T.Not recorded on first abstract]",1.16,0.83,1.63
1. Baseline variables only (primary),"C(baseline_cancer_site, Treatment('Breast'))[T.Respiratory and intrathoracic]",1.24,1.03,1.5
1. Baseline variables only (primary),"C(baseline_cancer_site, Treatment('Breast'))[T.Secondary (spread)]",0.73,0.6,0.89
1. Baseline variables only (primary),"C(baseline_cancer_site, Treatment('Breast'))[T.Skin]",0.66,0.48,0.9
1. Baseline variables only (primary),"C(baseline_cancer_site, Treatment('Breast'))[T.Soft tissue]",1.18,0.87,1.62
1. Baseline variables only (primary),"C(baseline_cancer_site, Treatment('Breast'))[T.Thyroid and endocrine]",0.52,0.33,0.82
1. Baseline variables only (primary),"C(baseline_cancer_site, Treatment('Breast'))[T.Unknown primary]",2.85,1.82,4.48
1. Baseline variables only (primary),"C(baseline_cancer_site, Treatment('Breast'))[T.Urinary]",0.71,0.57,0.88
1. Baseline variables only (primary),C(age_band)[T.50-59],1.41,1.21,1.65
1. Baseline variables only (primary),C(age_band)[T.60-69],1.64,1.42,1.89
1. Baseline variables only (primary),C(age_band)[T.70-79],1.99,1.73,2.29
1. Baseline variables only (primary),C(age_band)[T.80 plus],2.39,2.07,2.76
1. Baseline variables only (primary),C(age_band)[T.Under 18],0.15,0.07,0.33
1. Baseline variables only (primary),C(sex)[T.M],1.21,1.13,1.3
1. Baseline variables only (primary),post_admission_condition,2.3,2.15,2.46
1. Baseline variables only (primary),urgent_admission,7.19,6.44,8.02
1. Baseline variables only (primary),comorbidity_count,1.29,1.24,1.35
2. Adding palliative-care coding (descriptive),Intercept,0.01,0.01,0.01
2. Adding palliative-care coding (descriptive),baseline_cancer_has_spread[T.True],1.25,1.14,1.38
2. Adding palliative-care coding (descriptive),"C(baseline_cancer_site, Treatment('Breast'))[T.Bone and cartilage]",0.77,0.41,1.46
2. Adding palliative-care coding (descriptive),"C(baseline_cancer_site, Treatment('Breast'))[T.Digestive]",0.88,0.71,1.09
2. Adding palliative-care coding (descriptive),"C(baseline_cancer_site, Treatment('Breast'))[T.Eye, brain and nervous system]",0.8,0.58,1.08
2. Adding palliative-care coding (descriptive),"C(baseline_cancer_site, Treatment('Breast'))[T.Female reproductive]",0.74,0.56,0.97
2. Adding palliative-care coding (descriptive),"C(baseline_cancer_site, Treatment('Breast'))[T.Haematologic]",1.1,0.87,1.38
2. Adding palliative-care coding (descriptive),"C(baseline_cancer_site, Treatment('Breast'))[T.Head and neck]",0.82,0.57,1.17
2. Adding palliative-care coding (descriptive),"C(baseline_cancer_site, Treatment('Breast'))[T.Ill-defined site]",1.26,0.51,3.11
2. Adding palliative-care coding (descriptive),"C(baseline_cancer_site, Treatment('Breast'))[T.Male reproductive]",0.62,0.47,0.82
2. Adding palliative-care coding (descriptive),"C(baseline_cancer_site, Treatment('Breast'))[T.Not recorded on first abstract]",0.98,0.66,1.44
2. Adding palliative-care coding (descriptive),"C(baseline_cancer_site, Treatment('Breast'))[T.Respiratory and intrathoracic]",1.0,0.8,1.26
2. Adding palliative-care coding (descriptive),"C(baseline_cancer_site, Treatment('Breast'))[T.Secondary (spread)]",0.61,0.49,0.76
2. Adding palliative-care coding (descriptive),"C(baseline_cancer_site, Treatment('Breast'))[T.Skin]",0.73,0.5,1.04
2. Adding palliative-care coding (descriptive),"C(baseline_cancer_site, Treatment('Breast'))[T.Soft tissue]",0.85,0.6,1.21
2. Adding palliative-care coding (descriptive),"C(baseline_cancer_site, Treatment('Breast'))[T.Thyroid and endocrine]",0.67,0.43,1.04
2. Adding palliative-care coding (descriptive),"C(baseline_cancer_site, Treatment('Breast'))[T.Unknown primary]",1.62,0.97,2.7
2. Adding palliative-care coding (descriptive),"C(baseline_cancer_site, Treatment('Breast'))[T.Urinary]",0.73,0.56,0.94
2. Adding palliative-care coding (descriptive),C(age_band)[T.50-59],1.28,1.07,1.53
2. Adding palliative-care coding (descriptive),C(age_band)[T.60-69],1.42,1.21,1.67
2. Adding palliative-care coding (descriptive),C(age_band)[T.70-79],1.6,1.36,1.88
2. Adding palliative-care coding (descriptive),C(age_band)[T.80 plus],1.57,1.33,1.86
2. Adding palliative-care coding (descriptive),C(age_band)[T.Under 18],0.2,0.09,0.47
2. Adding palliative-care coding (descriptive),C(sex)[T.M],1.32,1.22,1.43
2. Adding palliative-care coding (descriptive),post_admission_condition,2.02,1.86,2.19
2. Adding palliative-care coding (descriptive),urgent_admission,2.72,2.42,3.06
2. Adding palliative-care coding (descriptive),comorbidity_count,1.27,1.21,1.34
2. Adding palliative-care coding (descriptive),palliative_care,18.58,16.97,20.36
