characteristic,overall_n,overall_pct,not_readmitted_pct,readmitted_pct,difference
Age: 0 days to 11 months,,,,,
Age: 1-7 yrs,279.0,0.9,0.8,1.5,0.7
Age: 13-17 yrs,210.0,0.7,0.6,1.0,0.4
Age: 18-24 yrs,259.0,0.8,0.8,1.0,0.2
Age: 25-29 yrs,271.0,0.8,0.9,0.7,-0.2
Age: 30-34 yrs,484.0,1.5,1.5,1.5,0.0
Age: 35-39 yrs,689.0,2.1,2.2,2.0,-0.2
Age: 40-44 yrs,923.0,2.9,2.9,2.7,-0.2
Age: 45-49 yrs,1202.0,3.7,3.8,3.1,-0.7
Age: 50-54 yrs,2056.0,6.4,6.4,6.4,0.0
Age: 55-59 yrs,2966.0,9.2,9.3,8.6,-0.7
Age: 60-64 yrs,4194.0,13.0,13.2,12.0,-1.2
Age: 65-69 yrs,5134.0,15.9,15.9,15.6,-0.3
Age: 70-74 yrs,4775.0,14.8,14.7,15.2,0.5
Age: 75-79 yrs,3999.0,12.4,12.3,12.9,0.6
Age: 8-12 yrs,97.0,0.3,0.3,0.4,0.1
Age: 80+ yrs,4709.0,14.6,14.5,15.2,0.7
Age: newborn,,,,,
Sex: female,15300.0,47.4,47.9,44.6,-3.3
Sex: male,17001.0,52.6,52.1,55.4,3.3
Cancer site: Digestive,7640.0,23.7,23.5,24.6,1.1
Cancer site: Secondary (spread),3803.0,11.8,10.9,16.5,5.6
Cancer site: Haematologic,3792.0,11.7,10.6,18.0,7.4
Cancer site: Respiratory and intrathoracic,3534.0,10.9,10.5,13.2,2.7
Cancer site: Urinary,3073.0,9.5,10.0,7.1,-2.9
Cancer site: Female reproductive,2452.0,7.6,8.1,4.6,-3.5
Cancer site: Male reproductive,2429.0,7.5,8.2,3.9,-4.3
Cancer site: Breast,1502.0,4.7,5.0,2.6,-2.4
Cancer site: Thyroid and endocrine,1124.0,3.5,4.0,0.8,-3.2
"Cancer site: Eye, brain and nervous system",930.0,2.9,3.0,2.4,-0.6
Cancer site: Head and neck,749.0,2.3,2.4,1.9,-0.5
Cancer site: Skin,515.0,1.6,1.7,1.2,-0.5
Cancer site: Soft tissue,474.0,1.5,1.4,1.7,0.3
Cancer site: Bone and cartilage,179.0,0.6,0.5,0.8,0.3
Cancer site: Ill-defined site,63.0,0.2,0.2,0.2,0.0
Cancer site: Unknown primary,,,,,
Cancer was the main reason for the episode,26626.0,82.4,84.1,73.5,-10.6
Secondary (metastatic) deposits coded,9162.0,28.4,26.8,36.8,10.0
Urgent/emergent admission category,14657.0,45.4,40.6,71.4,30.8
Entered through an emergency department,12041.0,37.3,32.9,61.3,28.4
Episode spanned more than one facility,738.0,2.3,2.0,3.6,1.6
Special care unit stay,3397.0,10.5,10.5,10.4,-0.1
Palliative care coded,2566.0,7.9,6.9,13.4,6.5
Condition coded as arising after admission,6483.0,20.1,19.7,22.2,2.5
Waited in hospital for another level of care,626.0,1.9,1.8,2.8,1.0
Had a procedure,28787.0,89.1,90.5,81.8,-8.7
Heart failure on admission,353.0,1.1,1.0,1.8,0.8
Diabetes on admission,679.0,2.1,1.9,3.1,1.2
Kidney disease on admission,1420.0,4.4,3.8,7.5,3.7
Lung disease on admission,370.0,1.1,1.0,1.9,0.9
Dementia on admission,58.0,0.2,0.2,0.3,0.1
Anaemia on admission,1406.0,4.4,3.8,7.2,3.4
Two or more recorded comorbidities,1071.0,3.3,2.9,5.5,2.6
Final stay length band: 1 day,6538.0,20.2,22.3,9.3,-13.0
Final stay length band: 2 days,3943.0,12.2,13.0,8.1,-4.9
Final stay length band: 3 days,3649.0,11.3,11.6,9.6,-2.0
Final stay length band: 4-5 days,5014.0,15.5,15.4,15.9,0.5
Final stay length band: 6-9 days,5813.0,18.0,16.7,25.0,8.3
Final stay length band: 10 or more days,7344.0,22.7,21.0,32.1,11.1
Province: Ontario,16437.0,50.9,50.6,52.3,1.7
Province: British Columbia,6116.0,18.9,19.0,18.3,-0.7
Province: Alberta,4055.0,12.6,12.6,12.3,-0.3
Province: Nova Scotia,1394.0,4.3,4.4,3.9,-0.5
Province: Saskatchewan,1331.0,4.1,4.0,4.8,0.8
Province: Manitoba,1139.0,3.5,3.6,3.2,-0.4
Province: New Brunswick,944.0,2.9,3.0,2.7,-0.3
Province: Newfoundland and Labrador,721.0,2.2,2.3,1.7,-0.6
Province: Prince Edward Island,133.0,0.4,0.4,0.5,0.1
Province: Territories,,,,,
